timestamp,open,high,low,close,volume
2025-07-11,83.3150,84.4500,82.7500,83.7200,53468792
2025-07-10,85.0300,85.2200,83.1400,84.3600,55158885
2025-07-09,83.9700,85.3850,83.3500,84.7500,58988125
2025-07-08,83.4800,83.7750,82.4700,83.0300,57757712
2025-07-07,83.6000,83.9700,81.8000,82.9200,69837376
2025-07-03,83.4900,85.2900,83.4900,84.8100,41742302
2025-07-02,80.4600,82.5900,80.4300,82.5000,50142531
2025-07-01,82.1200,82.5400,79.8100,80.8900,70194973
2025-06-30,82.8000,83.4900,81.8300,83.0000,56860730
2025-06-27,81.0303,82.2500,79.8529,81.4200,73011781
2025-06-26,79.4200,80.8500,78.6207,80.6300,50072093
2025-06-25,78.8800,79.4200,77.7200,78.4800,50719073
2025-06-24,76.9100,78.5100,76.6550,78.1000,56595750
2025-06-23,72.7300,74.9300,71.4200,74.7000,83786355
2025-06-20,74.7600,75.3298,71.7150,72.4500,81677450
2025-06-18,73.9200,74.9600,72.8400,73.4600,71330708
2025-06-17,74.6800,75.3800,73.0800,73.5600,67709094
2025-06-16,74.2200,76.2499,74.2200,75.8000,58334341
2025-06-13,73.1000,74.8850,72.2700,72.8300,105333080
2025-06-12,74.6000,76.1293,74.5200,75.6900,63055008
2025-06-11,76.5900,77.0750,74.2200,75.2000,90825988
2025-06-10,74.7100,76.2850,73.7600,75.9800,61346475
2025-06-09,74.3100,75.2400,73.8400,74.5400,50181894
2025-06-06,74.2700,75.0100,73.5400,74.2100,65607693
2025-06-05,74.4500,75.6500,71.3000,72.1500,99512462
2025-06-04,73.5800,74.3200,72.7100,73.8700,64444452
2025-06-03,71.7600,73.8799,71.4000,73.2800,64364182
2025-06-02,69.2000,71.7200,68.6900,71.6100,68962708
2025-05-30,70.1300,70.6000,67.0400,70.0000,93559149
2025-05-29,73.0000,73.0596,69.3300,70.3700,97717242
2025-05-28,71.3400,71.9400,69.7800,70.0300,66271337
2025-05-27,68.9900,71.1450,68.3893,70.9400,65269766
2025-05-23,65.0900,67.3401,64.8587,66.3200,107110438
2025-05-22,68.1600,69.7501,67.6200,68.2900,86771006
2025-05-21,69.2400,71.9900,67.1800,67.9400,109627584
2025-05-20,70.5800,71.1699,69.4001,70.8900,67034708
2025-05-19,68.4700,71.8600,68.4300,71.6400,71897093
2025-05-16,71.1100,71.5200,69.6500,71.4500,63813609
2025-05-15,69.4800,71.6899,68.9300,70.5800,80847372
2025-05-14,69.6100,70.6075,69.2100,70.3600,80592386
2025-05-13,66.6700,69.8600,66.3600,69.1400,85297723
2025-05-12,65.8500,66.1600,63.8508,66.1100,101244950
2025-05-09,59.8000,60.2698,58.3250,58.9700,73409422
2025-05-08,59.2000,60.7100,57.6600,59.1100,98810788
2025-05-07,56.9600,58.2600,55.0850,57.4000,104368572
2025-05-06,56.0600,58.0400,55.5700,56.7400,82942944
2025-05-05,57.9000,59.5000,57.7000,58.4000,69289492
2025-05-02,58.6400,60.1867,58.0300,59.4300,97548936
2025-05-01,57.5600,58.8850,56.6300,56.7700,102740841
2025-04-30,51.9600,55.4200,50.3200,54.8800,134223296
2025-04-29,53.0400,55.1700,52.8300,54.8700,84904015
2025-04-28,54.0200,54.6400,51.6400,53.8200,95678446
2025-04-25,52.0400,54.0700,51.4800,53.8600,113051563
2025-04-24,48.7400,52.2800,48.5400,52.1400,120307701
2025-04-23,49.2400,50.8277,47.6300,48.0500,151997725
2025-04-22,43.4600,45.9800,43.1000,45.0600,130111434
2025-04-21,43.3700,43.6400,40.2400,41.8600,114769688
2025-04-17,46.0900,46.2895,44.3500,45.1600,101095831
2025-04-16,46.8300,48.0100,43.1600,45.2900,134574359
2025-04-15,49.9600,51.2093,49.1900,49.7900,104670056
2025-04-14,51.9000,52.0520,48.0749,49.6000,147430727
2025-04-11,45.6700,49.0700,44.6200,48.5800,179292899
2025-04-10,48.6800,49.3400,41.5700,46.1400,281692729
2025-04-09,38.7600,53.4100,38.7300,52.6100,356932034
2025-04-08,45.3900,46.8100,37.1000,38.9000,251147696
2025-04-07,36.7500,46.8300,35.0000,41.2500,395727627
2025-04-04,45.9900,46.7800,41.0300,41.0900,258026677
2025-04-03,52.4300,53.8300,50.1100,50.3000,140115741
2025-04-02,56.1900,61.2000,56.0900,59.9300,123087357
2025-04-01,56.6800,58.9901,55.6200,58.6200,97098166
2025-03-31,54.7200,57.6280,53.0400,57.3000,106854450
2025-03-28,61.5400,61.8100,56.9700,57.3400,103632136
2025-03-27,62.6000,64.2300,61.7500,62.3000,72368042
2025-03-26,66.6400,66.9900,62.7600,63.3800,79567687
2025-03-25,66.4800,67.3701,66.0900,67.3100,55569695
2025-03-24,65.0600,66.5300,64.8150,66.1300,63411497
2025-03-21,59.5300,62.4150,59.0727,62.1800,80490984
2025-03-20,60.6600,63.6300,60.3700,61.6000,88409063
2025-03-19,60.6800,63.9100,59.9400,62.2400,92593158
2025-03-18,61.7700,61.7800,59.0100,59.9100,87826225
2025-03-17,61.8800,64.2799,61.1500,63.0900,90150374
2025-03-14,59.7100,62.2300,59.5000,61.8900,99108544
2025-03-13,60.8000,60.8500,57.0400,57.7900,121227286
2025-03-12,61.9400,62.6600,59.1600,61.1300,141918576
2025-03-11,59.4000,61.8500,57.3707,59.1100,139489295
2025-03-10,64.0000,64.1900,57.8800,59.8100,152970012
2025-03-07,65.5600,68.0100,62.8900,67.4100,135177332
2025-03-06,68.3900,70.4962,65.1716,66.0400,122822703
2025-03-05,69.5500,72.6850,67.4900,72.0100,100633296
2025-03-04,68.7600,72.7700,66.0100,69.3100,130836942
2025-03-03,76.3700,77.0500,68.4350,70.0800,91945843
2025-02-28,71.4600,75.1700,70.0750,74.9200,93178974
2025-02-27,79.7200,80.1700,71.4800,71.6400,103375523
2025-02-26,78.5800,80.4499,76.6900,78.1200,63175733
2025-02-25,80.3300,80.3800,75.7800,77.6200,75597231
2025-02-24,84.5000,85.0500,80.5000,80.7000,53233725
2025-02-21,89.7700,89.7900,83.4700,83.7100,59313609
2025-02-20,90.0500,90.2300,86.8900,89.3000,40133030
2025-02-19,90.0000,91.1200,88.9200,90.4000,34257893
2025-02-18,90.6300,90.7500,88.7500,90.3900,34412579
2025-02-14,88.8100,90.1800,88.6000,89.8300,38028741
2025-02-13,85.9800,88.9550,85.5800,88.7900,46460081
2025-02-12,82.2800,85.6050,82.1000,85.2000,48493304
2025-02-11,84.0700,85.9900,84.0100,85.0300,31301402
2025-02-10,84.7300,86.2000,84.5000,85.6400,32797059
2025-02-07,86.2600,87.1900,82.3513,82.7300,55435239
2025-02-06,84.9600,86.1300,84.1948,86.0100,38215508
2025-02-05,82.3500,84.8200,81.7600,84.7400,39847434
2025-02-04,80.9100,83.9380,80.7300,83.6500,42317266
2025-02-03,78.5300,81.9900,77.3400,80.7200,76628493
2025-01-31,84.9200,87.0900,82.1800,82.7200,59334629
2025-01-30,83.4700,84.5850,80.8600,83.1700,57585510
2025-01-29,82.9100,82.9800,80.2600,82.1400,59240550
2025-01-28,79.5800,83.1699,78.0000,82.6500,50516695
2025-01-27,77.5800,81.0300,77.1800,79.1400,80910839
2025-01-24,88.4300,88.8300,86.0100,86.7500,36239633
2025-01-23,86.5400,88.3800,86.2700,88.3400,30240482
2025-01-22,86.8400,88.9100,86.7100,87.8000,43132663
2025-01-21,84.4500,85.1500,82.3305,84.5200,41725896
2025-01-17,83.6900,83.9400,81.8400,83.1400,43676083
2025-01-16,82.0100,82.0500,79.2000,79.2300,46527715
2025-01-15,79.3100,81.4750,78.6000,80.8800,53459576
2025-01-14,77.4800,78.0600,74.1909,75.7600,62635450
2025-01-13,74.0500,76.2000,73.3400,76.0300,56691006
2025-01-10,78.8000,78.8200,75.2300,76.8300,72825832
2025-01-08,80.5600,81.4100,78.4400,80.6800,48010618
2025-01-07,85.7200,85.8900,79.7050,80.6200,55510477
2025-01-06,84.9700,86.8500,84.0300,85.2100,46025002
2025-01-03,79.9900,82.9100,79.6200,82.4000,46215782
2025-01-02,80.5400,81.6050,76.5310,78.6300,70685332
2024-12-31,81.8000,82.1599,78.6800,79.1300,52588835
2024-12-30,81.2000,83.0600,79.4125,81.2600,51422034
2024-12-27,86.3700,86.5850,82.2800,84.6600,51069489
