Date	Open	High	Low	Close 	Adj Close 	Volume
Jul 11, 2025	83.32	84.45	82.75	83.72	83.72	53,322,900
Jul 10, 2025	85.03	85.22	83.14	84.36	84.36	55,158,900
Jul 9, 2025	83.97	85.39	83.35	84.75	84.75	58,988,100
Jul 8, 2025	83.48	83.78	82.47	83.03	83.03	57,757,700
Jul 7, 2025	83.60	83.97	81.80	82.92	82.92	69,837,400
Jul 3, 2025	83.49	85.29	83.49	84.81	84.81	41,742,300
Jul 2, 2025	80.46	82.59	80.43	82.50	82.50	50,142,500
Jul 1, 2025	82.12	82.54	79.81	80.89	80.89	70,195,000
Jun 30, 2025	82.80	83.49	81.83	83.00	83.00	56,860,700
Jun 27, 2025	81.03	82.25	79.85	81.42	81.42	73,011,800
Jun 26, 2025	79.42	80.85	78.62	80.63	80.63	50,072,100
Jun 25, 2025	78.88	79.42	77.72	78.48	78.48	50,719,100
Jun 24, 2025	76.91	78.51	76.66	78.10	77.88	56,595,800
Jun 23, 2025	72.73	74.93	71.42	74.70	74.49	83,786,400
Jun 20, 2025	74.76	75.33	71.72	72.45	72.25	81,677,500
Jun 18, 2025	73.92	74.96	72.84	73.46	73.25	71,330,700
Jun 17, 2025	74.68	75.38	73.08	73.56	73.35	67,709,100
Jun 16, 2025	74.22	76.25	74.22	75.80	75.59	58,334,300
Jun 13, 2025	73.10	74.89	72.27	72.83	72.63	105,333,100
Jun 12, 2025	74.60	76.13	74.52	75.69	75.48	63,055,000
Jun 11, 2025	76.59	77.08	74.22	75.20	74.99	90,826,000
Jun 10, 2025	74.71	76.29	73.76	75.98	75.77	61,346,500
Jun 9, 2025	74.31	75.24	73.84	74.54	74.33	50,181,900
Jun 6, 2025	74.27	75.01	73.54	74.21	74.00	65,607,700
Jun 5, 2025	74.45	75.65	71.30	72.15	71.95	99,004,400
Jun 4, 2025	73.58	74.32	72.71	73.87	73.66	64,444,500
Jun 3, 2025	71.76	73.88	71.40	73.28	73.08	64,364,200
Jun 2, 2025	69.20	71.72	68.69	71.61	71.41	68,962,700
May 30, 2025	70.13	70.60	67.04	70.00	69.80	93,559,100
May 29, 2025	73.00	73.06	69.33	70.37	70.17	97,717,200
May 28, 2025	71.34	71.94	69.78	70.03	69.83	66,271,300
May 27, 2025	68.99	71.15	68.39	70.94	70.74	65,269,800
May 23, 2025	65.09	67.34	64.86	66.32	66.13	107,110,400
May 22, 2025	68.16	69.75	67.62	68.29	68.10	86,771,000
May 21, 2025	69.24	71.99	67.18	67.94	67.75	109,627,600
May 20, 2025	70.58	71.17	69.40	70.89	70.69	67,034,700
May 19, 2025	68.47	71.86	68.43	71.64	71.44	71,897,100
May 16, 2025	71.11	71.52	69.65	71.45	71.25	63,813,600
May 15, 2025	69.48	71.69	68.93	70.58	70.38	80,847,400
May 14, 2025	69.61	70.61	69.21	70.36	70.16	80,592,400
May 13, 2025	66.67	69.86	66.36	69.14	68.95	85,297,700
May 12, 2025	65.85	66.16	63.85	66.11	65.93	101,245,000
May 9, 2025	59.80	60.27	58.33	58.97	58.81	73,409,400
May 8, 2025	59.20	60.71	57.66	59.11	58.95	98,810,800
May 7, 2025	56.96	58.26	55.09	57.40	57.24	103,933,600
May 6, 2025	56.06	58.04	55.57	56.74	56.58	82,942,900
May 5, 2025	57.90	59.50	57.70	58.40	58.24	69,289,500
May 2, 2025	58.64	60.19	58.03	59.43	59.26	97,548,900
May 1, 2025	57.56	58.89	56.63	56.77	56.61	102,740,800
Apr 30, 2025	51.96	55.42	50.32	54.88	54.73	134,223,300
Apr 29, 2025	53.04	55.17	52.83	54.87	54.72	84,904,000
Apr 28, 2025	54.02	54.64	51.64	53.82	53.67	95,678,400
Apr 25, 2025	52.04	54.07	51.48	53.86	53.71	113,051,600
Apr 24, 2025	48.74	52.28	48.54	52.14	51.99	120,307,700
Apr 23, 2025	49.24	50.83	47.63	48.05	47.92	151,997,700
Apr 22, 2025	43.46	45.98	43.10	45.06	44.93	130,111,400
Apr 21, 2025	43.37	43.64	40.24	41.86	41.74	114,769,700
